Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
34839000;9.950433E+000;6.820221E+000;-1.552740E+002;-1.552514E+002;3.735352E+000
34852000;9.827801E+000;8.352700E+000;-1.552740E+002;-1.552095E+002;5.009766E+000
34866000;8.807941E+000;1.037293E+001;-1.552740E+002;-1.551841E+002;5.712891E+000
34879000;6.962243E+000;1.108327E+001;-1.552740E+002;-1.551613E+002;6.108398E+000
34893000;4.659160E+000;1.132853E+001;-1.552740E+002;-1.551577E+002;5.844727E+000
34906000;1.978999E+000;1.120722E+001;-1.552740E+002;-1.551689E+002;4.965820E+000
34920000;-1.079866E+000;1.092390E+001;-1.552740E+002;-1.551761E+002;3.823242E+000
34933000;-3.835637E+000;1.069272E+001;-1.552740E+002;-1.552074E+002;2.416992E+000
34948000;-6.616542E+000;9.787383E+000;-1.552740E+002;-1.552328E+002;5.273438E-001
34961000;-8.460210E+000;8.627310E+000;-1.552740E+002;-1.552724E+002;-1.318359E+000
34974000;-9.619172E+000;6.262310E+000;-1.552740E+002;-1.553142E+002;-2.900391E+000
34988000;-9.995335E+000;4.231150E+000;-1.552740E+002;-1.553596E+002;-4.262695E+000
35002000;-9.434328E+000;1.556188E+000;-1.552740E+002;-1.554111E+002;-5.317383E+000
35017000;-7.854761E+000;5.619940E-001;-1.552740E+002;-1.554319E+002;-5.800781E+000
35031000;-5.613800E+000;-7.053673E-002;-1.552740E+002;-1.554367E+002;-5.800781E+000
35044000;-2.846486E+000;-5.355876E-002;-1.552740E+002;-1.554425E+002;-5.405273E+000
35057000;-3.185302E-002;4.088651E-001;-1.552740E+002;-1.554248E+002;-4.438477E+000
35071000;2.815936E+000;1.653824E+000;-1.552740E+002;-1.553917E+002;-2.988281E+000
35084000;5.587411E+000;2.742803E+000;-1.552740E+002;-1.553624E+002;-1.318359E+000
35098000;7.696685E+000;3.885545E+000;-1.552740E+002;-1.553325E+002;5.273438E-001
35111000;9.183045E+000;5.255791E+000;-1.552740E+002;-1.552940E+002;2.241211E+000
35124000;9.926200E+000;6.732909E+000;-1.552740E+002;-1.552615E+002;3.647461E+000
35138000;9.827801E+000;8.886221E+000;-1.552740E+002;-1.552202E+002;5.053711E+000
35151000;8.807941E+000;1.042289E+001;-1.552740E+002;-1.551948E+002;5.844727E+000
35165000;7.118173E+000;1.114374E+001;-1.552740E+002;-1.551689E+002;6.064453E+000
35179000;4.659160E+000;1.149055E+001;-1.552740E+002;-1.551654E+002;5.844727E+000
35193000;1.763302E+000;1.155129E+001;-1.552740E+002;-1.551761E+002;5.053711E+000
35207000;-1.297884E+000;1.138498E+001;-1.552740E+002;-1.551895E+002;3.779297E+000
35221000;-4.237381E+000;1.086024E+001;-1.552740E+002;-1.552216E+002;2.329102E+000
35233000;-6.450316E+000;1.006425E+001;-1.552740E+002;-1.552516E+002;7.031250E-001
35246000;-8.460210E+000;8.495411E+000;-1.552740E+002;-1.552845E+002;-1.186523E+000
35260000;-9.676868E+000;6.706176E+000;-1.552740E+002;-1.553375E+002;-2.900391E+000
35274000;-9.995335E+000;3.959955E+000;-1.552740E+002;-1.553811E+002;-4.262695E+000
35288000;-9.434328E+000;2.055324E+000;-1.552740E+002;-1.554184E+002;-5.273438E+000
35302000;-7.988753E+000;7.262704E-001;-1.552740E+002;-1.554394E+002;-5.756836E+000
35316000;-5.794148E+000;2.664296E-001;-1.552740E+002;-1.554413E+002;-5.844727E+000
35330000;-3.056280E+000;2.950485E-001;-1.552740E+002;-1.554478E+002;-5.361328E+000
35343000;-2.514070E-001;8.230258E-001;-1.552740E+002;-1.554323E+002;-4.526367E+000
35356000;2.604580E+000;1.749939E+000;-1.552740E+002;-1.553920E+002;-3.120117E+000
35369000;5.403972E+000;2.724678E+000;-1.552740E+002;-1.553713E+002;-1.538086E+000
35383000;7.554650E+000;3.725003E+000;-1.552740E+002;-1.553409E+002;5.273438E-001
35398000;9.267751E+000;5.389208E+000;-1.552740E+002;-1.552871E+002;2.329102E+000
35412000;9.969868E+000;6.928967E+000;-1.552740E+002;-1.552475E+002;3.867188E+000
35426000;9.737204E+000;9.122675E+000;-1.552740E+002;-1.552106E+002;5.185547E+000
35440000;8.591574E+000;1.058530E+001;-1.552740E+002;-1.551825E+002;5.888672E+000
35453000;6.802958E+000;1.127459E+001;-1.552740E+002;-1.551554E+002;6.020508E+000
35467000;4.266211E+000;1.151660E+001;-1.552740E+002;-1.551521E+002;5.756836E+000
35480000;1.546755E+000;1.121768E+001;-1.552740E+002;-1.551623E+002;5.053711E+000
35494000;-1.515277E+000;1.061101E+001;-1.552740E+002;-1.551742E+002;3.559570E+000
