Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
62670000;0.000000E+000;3.026721E+000;1.974937E+001;-3.572558E-001
62683000;0.000000E+000;2.827798E+000;4.542585E+000;-2.927123E-001
62695000;0.000000E+000;2.566536E+000;-1.519652E+001;7.415110E-002
62708000;0.000000E+000;2.441741E+000;-1.778185E+001;2.754439E-001
62721000;0.000000E+000;2.746949E+000;1.817778E+000;1.356005E-001
62734000;0.000000E+000;2.902938E+000;1.912675E+001;-2.329137E-001
62746000;0.000000E+000;2.783462E+000;1.264109E+001;-3.347268E-001
62759000;0.000000E+000;2.447986E+000;-9.570726E+000;-4.705989E-002
62771000;0.000000E+000;2.161339E+000;-1.999585E+001;2.786500E-001
62784000;0.000000E+000;2.511375E+000;-7.180878E+000;2.619030E-001
62797000;0.000000E+000;2.715472E+000;1.461105E+001;-6.438112E-002
62811000;0.000000E+000;2.787246E+000;1.733112E+001;-3.430278E-001
62824000;0.000000E+000;2.288595E+000;-2.690401E+000;-1.759498E-001
62837000;0.000000E+000;2.027065E+000;-1.883033E+001;1.916313E-001
62851000;0.000000E+000;2.284616E+000;-1.194851E+001;2.786266E-001
62864000;0.000000E+000;2.624183E+000;1.189736E+001;-3.868517E-002
62878000;0.000000E+000;2.798053E+000;1.885170E+001;-3.509484E-001
62892000;0.000000E+000;2.376904E+000;-8.780096E-001;-2.247548E-001
62905000;0.000000E+000;2.108244E+000;-1.883033E+001;1.449797E-001
62918000;0.000000E+000;2.269105E+000;-1.335678E+001;3.009559E-001
62931000;0.000000E+000;2.486816E+000;8.790548E+000;2.300295E-002
62944000;0.000000E+000;2.750144E+000;1.995450E+001;-2.963425E-001
62957000;0.000000E+000;2.473582E+000;6.294053E+000;-2.909722E-001
62971000;0.000000E+000;2.201564E+000;-1.631540E+001;1.438659E-001
62984000;0.000000E+000;2.200530E+000;-1.687621E+001;3.346310E-001
62997000;0.000000E+000;2.493374E+000;3.620508E+000;1.816936E-001
63010000;0.000000E+000;2.630282E+000;1.957886E+001;-2.738889E-001
63024000;0.000000E+000;2.404251E+000;9.626616E+000;-2.880187E-001
63038000;0.000000E+000;2.204465E+000;-1.395183E+001;2.878308E-003
63050000;0.000000E+000;2.081157E+000;-1.959176E+001;3.148305E-001
63063000;0.000000E+000;2.301401E+000;-1.881211E+000;2.042086E-001
63075000;0.000000E+000;2.523237E+000;1.684194E+001;-1.718423E-001
63088000;0.000000E+000;2.534934E+000;1.733112E+001;-3.255094E-001
63102000;0.000000E+000;2.107249E+000;-4.480521E+000;-1.778118E-001
63115000;0.000000E+000;1.862386E+000;-1.973922E+001;2.840631E-001
63129000;0.000000E+000;2.196918E+000;-8.847726E+000;3.072757E-001
63143000;0.000000E+000;2.472169E+000;1.461105E+001;-1.225859E-001
63155000;0.000000E+000;2.706973E+000;1.885170E+001;-3.243332E-001
63167000;0.000000E+000;2.390707E+000;9.416497E-001;-1.953734E-001
63180000;0.000000E+000;2.017084E+000;-1.813986E+001;1.700544E-001
63194000;0.000000E+000;2.165760E+000;-1.465447E+001;3.347671E-001
63207000;0.000000E+000;2.388760E+000;7.324062E+000;2.334130E-002
63221000;0.000000E+000;2.704648E+000;1.999488E+001;-2.916975E-001
63233000;0.000000E+000;2.397293E+000;8.216954E+000;-2.805435E-001
63246000;0.000000E+000;2.194252E+000;-1.427901E+001;2.949470E-002
63260000;0.000000E+000;2.238574E+000;-1.718938E+001;3.377623E-001
63273000;0.000000E+000;2.455955E+000;5.550060E+000;1.745365E-001
63286000;0.000000E+000;2.725246E+000;1.972894E+001;-1.734011E-001
63299000;0.000000E+000;2.648256E+000;8.216954E+000;-1.985228E-001
63311000;0.000000E+000;2.333816E+000;-1.290564E+001;1.113957E-001
63325000;0.000000E+000;2.118037E+000;-1.807081E+001;3.848264E-001
63338000;0.000000E+000;2.378243E+000;-6.370603E-002;3.109809E-001
63351000;0.000000E+000;2.649954E+000;1.933520E+001;-1.355094E-001
63365000;0.000000E+000;2.547370E+000;9.887489E+000;-2.133077E-001
63379000;0.000000E+000;2.184099E+000;-1.290564E+001;1.626716E-001
63392000;0.000000E+000;1.988075E+000;-1.879359E+001;3.963845E-001
63404000;0.000000E+000;2.333526E+000;-6.370603E-002;2.873768E-001
63417000;0.000000E+000;2.545304E+000;1.804342E+001;-6.833684E-002
63430000;0.000000E+000;2.421804E+000;1.432354E+001;-2.234273E-001
63443000;0.000000E+000;1.898843E+000;-9.832063E+000;6.952754E-002
63457000;0.000000E+000;1.734014E+000;-1.973929E+001;3.622190E-001
63469000;0.000000E+000;2.141804E+000;-5.611236E+000;3.137012E-001
63482000;0.000000E+000;2.359835E+000;1.611941E+001;-2.311060E-002
63495000;0.000000E+000;2.430124E+000;1.667397E+001;-2.475538E-001
63509000;0.000000E+000;1.950896E+000;-6.413974E+000;-3.980099E-002
63523000;0.000000E+000;1.666678E+000;-1.995390E+001;3.842704E-001
63536000;0.000000E+000;2.046649E+000;-5.611236E+000;3.339772E-001
63549000;0.000000E+000;2.357278E+000;1.611941E+001;-3.791571E-003
63562000;0.000000E+000;2.423910E+000;1.667397E+001;-2.215697E-001
63576000;0.000000E+000;2.002629E+000;-6.413974E+000;-5.830705E-003
63590000;0.000000E+000;1.715162E+000;-1.995390E+001;3.342350E-001
63604000;0.000000E+000;1.952901E+000;-3.789904E+000;3.021990E-001
